profile_result_microbench,,,,,,,
cuda_float2half(float*; __half*; int),73.83,17.445,6966705.039999999,6966705.039999999,3700856.48,0.0,0.0,
_ZN7cutlass6KernelIN5cuasr4gemm6kernel6SrgemmINS2_11threadblock14SrmmaPipelinedINS_4gemm9GemmShapeILi128ELi128ELi8EEENS_9transform11threadblock22PredicatedTileIteratorINS_11MatrixShapeILi128ELi8EEEfNS_6layout8RowMajorELi1ENSA_30PitchLinearStripminedThreadMapINSF_16PitchLinearShapeILi8ELi128EEELi256ELi1EEELi1EEENSB_19RegularTileIteratorISE_fNSF_11ColumnMajorELi1ENSA_33TransposePitchLinearThreadMapSimtISK_EELi4EEENSC_INSD_ILi8ELi128EEEfSG_Li0ENSH_INSI_ILi128ELi8EEELi256ELi1EEELi1EEENSM_ISR_fSG_Li0EST_Li4EEEfSG_NS7_11threadblock9MmaPolicyINS2_4warp9SrmmaSimtINS8_ILi64ELi32ELi8EEEfSN_fSG_fSG_NS7_4warp13MmaSimtPolicyINSD_ILi8ELi4EEENSF_19RowMajorInterleavedILi2EEENS8_ILi4ELi4ELi1EEEEENS1_7minimumIfLi1EEENS1_4plusIfLi1EEELi1EbEENSD_ILi4ELi0EEENSD_ILi0ELi0EEELi1EEENS_21NumericArrayConverterIffLi4ELNS_15FloatRoundStyleE2EEES1I_bEES19_S1B_NS_8epilogue11threadblock8EpilogueIS9_S1C_Li1ENS1L_22PredicatedTileIteratorINS1L_26OutputTileOptimalThreadMapINS1L_15OutputTileShapeILi128ELi1ELi8ELi2ELi1EEENS1P_ILi1ELi4ELi2ELi1ELi8EEELi256ELi1ELi32EEEfEENS1K_4warp20FragmentIteratorSimtIS10_NS2_6thread5SrmmaINS8_ILi8ELi8ELi1EEEfSN_fSG_fSG_S19_S1B_bEESG_S17_EENS1U_16TileIteratorSimtIS10_S1Z_fSG_S17_EENS1L_18SharedLoadIteratorINS1S_18CompactedThreadMapEfLi4EEENS1_8epilogue6thread25SemiringLinearCombinationIS19_S1B_fLi1EffLS1H_2EEENSD_ILi0ELi17EEEEENSW_30GemmIdentityThreadblockSwizzleILi1EEELb0EEEEEvNT_6ParamsE,17.01,94.89,2231380851.04,2231380851.04,6523012035.76,0.0,0.0,
_ZN7cutlass6KernelIN5cuasr4gemm6kernel6SrgemmINS2_11threadblock14SrmmaPipelinedINS_4gemm9GemmShapeILi64ELi128ELi8EEENS_9transform11threadblock22PredicatedTileIteratorINS_11MatrixShapeILi64ELi8EEEfNS_6layout8RowMajorELi1ENSA_30PitchLinearStripminedThreadMapINSF_16PitchLinearShapeILi8ELi64EEELi128ELi1EEELi1EEENSB_19RegularTileIteratorISE_fNSF_11ColumnMajorELi1ENSA_33TransposePitchLinearThreadMapSimtISK_EELi4EEENSC_INSD_ILi8ELi128EEEfSG_Li0ENSH_INSI_ILi128ELi8EEELi128ELi1EEELi1EEENSM_ISR_fSG_Li0EST_Li4EEEfSG_NS7_11threadblock9MmaPolicyINS2_4warp9SrmmaSimtINS8_ILi32ELi64ELi8EEEfSN_fSG_fSG_NS7_4warp13MmaSimtPolicyINSD_ILi4ELi8EEENSF_19RowMajorInterleavedILi2EEENS8_ILi4ELi4ELi1EEEEENS1_4plusIfLi1EEENS1_10multipliesIfLi1EEELi1EbEENSD_ILi4ELi0EEENSD_ILi0ELi0EEELi1EEENS_21NumericArrayConverterIffLi4ELNS_15FloatRoundStyleE2EEENS1G_IffLi8ELS1H_2EEEbEES19_S1B_NS_8epilogue11threadblock8EpilogueIS9_S1C_Li1ENS1M_22PredicatedTileIteratorINS1M_26OutputTileOptimalThreadMapINS1M_15OutputTileShapeILi128ELi1ELi4ELi2ELi1EEENS1Q_ILi1ELi4ELi2ELi1ELi8EEELi128ELi1ELi32EEEfEENS1L_4warp20FragmentIteratorSimtIS10_NS2_6thread5SrmmaINS8_ILi8ELi8ELi1EEEfSN_fSG_fSG_S19_S1B_bEESG_S17_EENS1V_16TileIteratorSimtIS10_S20_fSG_S17_EENS1M_18SharedLoadIteratorINS1T_18CompactedThreadMapEfLi4EEENS1_8epilogue6thread25SemiringLinearCombinationIS19_S1B_fLi1EffLS1H_2EEENSD_ILi0ELi17EEEEENSW_30GemmIdentityThreadblockSwizzleILi1EEELb0EEEEEvNT_6ParamsE,49.52,49.77,1300664823.65,1300664823.65,2591227904.0,0.0,0.0,
_ZN7cutlass6KernelIN5cuasr4gemm6kernel6SrgemmINS2_11threadblock14SrmmaPipelinedINS_4gemm9GemmShapeILi64ELi128ELi8EEENS_9transform11threadblock22PredicatedTileIteratorINS_11MatrixShapeILi64ELi8EEEfNS_6layout8RowMajorELi1ENSA_30PitchLinearStripminedThreadMapINSF_16PitchLinearShapeILi8ELi64EEELi256ELi1EEELi1EEENSB_19RegularTileIteratorISE_fNSF_11ColumnMajorELi1ENSA_33TransposePitchLinearThreadMapSimtISK_EELi4EEENSC_INSD_ILi8ELi128EEEfSG_Li0ENSH_INSI_ILi128ELi8EEELi256ELi1EEELi1EEENSM_ISR_fSG_Li0EST_Li4EEEfSG_NS7_11threadblock9MmaPolicyINS2_4warp9SrmmaSimtINS8_ILi16ELi64ELi8EEEfSN_fSG_fSG_NS7_4warp13MmaSimtPolicyINSD_ILi4ELi8EEENSF_19RowMajorInterleavedILi1EEENS8_ILi4ELi4ELi1EEEEENS1_7maximumIfLi1EEENS1_4plusIfLi1EEELi1EbEENSD_ILi4ELi0EEENSD_ILi0ELi0EEELi1EEENS_21NumericArrayConverterIffLi2ELNS_15FloatRoundStyleE2EEENS1G_IffLi4ELS1H_2EEEbEES19_S1B_NS_8epilogue11threadblock8EpilogueIS9_S1C_Li1ENS1M_22PredicatedTileIteratorINS1M_26OutputTileOptimalThreadMapINS1M_15OutputTileShapeILi128ELi1ELi4ELi4ELi1EEENS1Q_ILi1ELi4ELi1ELi1ELi4EEELi256ELi1ELi32EEEfEENS1L_4warp20FragmentIteratorSimtIS10_NS2_6thread5SrmmaINS8_ILi4ELi8ELi1EEEfSN_fSG_fSG_S19_S1B_bEESG_S17_EENS1V_16TileIteratorSimtIS10_S20_fSG_S17_EENS1M_18SharedLoadIteratorINS1T_18CompactedThreadMapEfLi4EEENS1_8epilogue6thread25SemiringLinearCombinationIS19_S1B_fLi1EffLS1H_2EEENSD_ILi0ELi17EEEEENSW_30GemmIdentityThreadblockSwizzleILi1EEELb0EEEEEvNT_6ParamsE,33.45,93.63,2323128354.22,2323128354.22,6800740111.06,0.0,0.0,
_ZN7cutlass6KernelIN5cuasr4gemm6kernel6SrgemmINS2_11threadblock14SrmmaPipelinedINS_4gemm9GemmShapeILi64ELi128ELi8EEENS_9transform11threadblock22PredicatedTileIteratorINS_11MatrixShapeILi64ELi8EEEfNS_6layout8RowMajorELi1ENSA_30PitchLinearStripminedThreadMapINSF_16PitchLinearShapeILi8ELi64EEELi256ELi1EEELi1EEENSB_19RegularTileIteratorISE_fNSF_11ColumnMajorELi1ENSA_33TransposePitchLinearThreadMapSimtISK_EELi4EEENSC_INSD_ILi8ELi128EEEfSG_Li0ENSH_INSI_ILi128ELi8EEELi256ELi1EEELi1EEENSM_ISR_fSG_Li0EST_Li4EEEfSG_NS7_11threadblock9MmaPolicyINS2_4warp9SrmmaSimtINS8_ILi16ELi64ELi8EEEfSN_fSG_fSG_NS7_4warp13MmaSimtPolicyINSD_ILi4ELi8EEENSF_19RowMajorInterleavedILi1EEENS8_ILi4ELi4ELi1EEEEENS1_7maximumIfLi1EEENS1_7minimumIfLi1EEELi1EbEENSD_ILi4ELi0EEENSD_ILi0ELi0EEELi1EEENS_21NumericArrayConverterIffLi2ELNS_15FloatRoundStyleE2EEENS1G_IffLi4ELS1H_2EEEbEES19_S1B_NS_8epilogue11threadblock8EpilogueIS9_S1C_Li1ENS1M_22PredicatedTileIteratorINS1M_26OutputTileOptimalThreadMapINS1M_15OutputTileShapeILi128ELi1ELi4ELi4ELi1EEENS1Q_ILi1ELi4ELi1ELi1ELi4EEELi256ELi1ELi32EEEfEENS1L_4warp20FragmentIteratorSimtIS10_NS2_6thread5SrmmaINS8_ILi4ELi8ELi1EEEfSN_fSG_fSG_S19_S1B_bEESG_S17_EENS1V_16TileIteratorSimtIS10_S20_fSG_S17_EENS1M_18SharedLoadIteratorINS1T_18CompactedThreadMapEfLi4EEENS1_8epilogue6thread25SemiringLinearCombinationIS19_S1B_fLi1EffLS1H_2EEENSD_ILi0ELi17EEEEENSW_30GemmIdentityThreadblockSwizzleILi1EEELb0EEEEEvNT_6ParamsE,18.34,99.04,4236528203.91,4236528203.91,8805247337.41,0.0,0.0,
_ZN7cutlass6KernelIN5cuasr4gemm6kernel6SrgemmINS2_11threadblock14SrmmaPipelinedINS_4gemm9GemmShapeILi64ELi128ELi8EEENS_9transform11threadblock22PredicatedTileIteratorINS_11MatrixShapeILi64ELi8EEEfNS_6layout8RowMajorELi1ENSA_30PitchLinearStripminedThreadMapINSF_16PitchLinearShapeILi8ELi64EEELi256ELi1EEELi1EEENSB_19RegularTileIteratorISE_fNSF_11ColumnMajorELi1ENSA_33TransposePitchLinearThreadMapSimtISK_EELi4EEENSC_INSD_ILi8ELi128EEEfSG_Li0ENSH_INSI_ILi128ELi8EEELi256ELi1EEELi1EEENSM_ISR_fSG_Li0EST_Li4EEEfSG_NS7_11threadblock9MmaPolicyINS2_4warp9SrmmaSimtINS8_ILi16ELi64ELi8EEEfSN_fSG_fSG_NS7_4warp13MmaSimtPolicyINSD_ILi4ELi8EEENSF_19RowMajorInterleavedILi1EEENS8_ILi4ELi4ELi1EEEEENS1_7maximumIfLi1EEENS1_10multipliesIfLi1EEELi1EbEENSD_ILi4ELi0EEENSD_ILi0ELi0EEELi1EEENS_21NumericArrayConverterIffLi2ELNS_15FloatRoundStyleE2EEENS1G_IffLi4ELS1H_2EEEbEES19_S1B_NS_8epilogue11threadblock8EpilogueIS9_S1C_Li1ENS1M_22PredicatedTileIteratorINS1M_26OutputTileOptimalThreadMapINS1M_15OutputTileShapeILi128ELi1ELi4ELi4ELi1EEENS1Q_ILi1ELi4ELi1ELi1ELi4EEELi256ELi1ELi32EEEfEENS1L_4warp20FragmentIteratorSimtIS10_NS2_6thread5SrmmaINS8_ILi4ELi8ELi1EEEfSN_fSG_fSG_S19_S1B_bEESG_S17_EENS1V_16TileIteratorSimtIS10_S20_fSG_S17_EENS1M_18SharedLoadIteratorINS1T_18CompactedThreadMapEfLi4EEENS1_8epilogue6thread25SemiringLinearCombinationIS19_S1B_fLi1EffLS1H_2EEENSD_ILi0ELi17EEEEENSW_30GemmIdentityThreadblockSwizzleILi1EEELb0EEEEEvNT_6ParamsE,33.06,92.55,2350138925.4,2350138925.4,6800740111.06,0.0,0.0,
_ZN7cutlass6KernelIN5cuasr4gemm6kernel6SrgemmINS2_11threadblock14SrmmaPipelinedINS_4gemm9GemmShapeILi64ELi128ELi8EEENS_9transform11threadblock22PredicatedTileIteratorINS_11MatrixShapeILi64ELi8EEEfNS_6layout8RowMajorELi1ENSA_30PitchLinearStripminedThreadMapINSF_16PitchLinearShapeILi8ELi64EEELi256ELi1EEELi1EEENSB_19RegularTileIteratorISE_fNSF_11ColumnMajorELi1ENSA_33TransposePitchLinearThreadMapSimtISK_EELi4EEENSC_INSD_ILi8ELi128EEEfSG_Li0ENSH_INSI_ILi128ELi8EEELi256ELi1EEELi1EEENSM_ISR_fSG_Li0EST_Li4EEEfSG_NS7_11threadblock9MmaPolicyINS2_4warp9SrmmaSimtINS8_ILi16ELi64ELi8EEEfSN_fSG_fSG_NS7_4warp13MmaSimtPolicyINSD_ILi4ELi8EEENSF_19RowMajorInterleavedILi1EEENS8_ILi4ELi4ELi1EEEEENS1_7minimumIfLi1EEENS1_10multipliesIfLi1EEELi1EbEENSD_ILi4ELi0EEENSD_ILi0ELi0EEELi1EEENS_21NumericArrayConverterIffLi2ELNS_15FloatRoundStyleE2EEENS1G_IffLi4ELS1H_2EEEbEES19_S1B_NS_8epilogue11threadblock8EpilogueIS9_S1C_Li1ENS1M_22PredicatedTileIteratorINS1M_26OutputTileOptimalThreadMapINS1M_15OutputTileShapeILi128ELi1ELi4ELi4ELi1EEENS1Q_ILi1ELi4ELi1ELi1ELi4EEELi256ELi1ELi32EEEfEENS1L_4warp20FragmentIteratorSimtIS10_NS2_6thread5SrmmaINS8_ILi4ELi8ELi1EEEfSN_fSG_fSG_S19_S1B_bEESG_S17_EENS1V_16TileIteratorSimtIS10_S20_fSG_S17_EENS1M_18SharedLoadIteratorINS1T_18CompactedThreadMapEfLi4EEENS1_8epilogue6thread25SemiringLinearCombinationIS19_S1B_fLi1EffLS1H_2EEENSD_ILi0ELi17EEEEENSW_30GemmIdentityThreadblockSwizzleILi1EEELb0EEEEEvNT_6ParamsE,33.12,92.7,2345747689.07,2345747689.07,6799722375.53,0.0,0.0,
_ZN7cutlass6KernelIN5cuasr4gemm6kernel6SrgemmINS2_11threadblock14SrmmaPipelinedINS_4gemm9GemmShapeILi64ELi128ELi8EEENS_9transform11threadblock22PredicatedTileIteratorINS_11MatrixShapeILi64ELi8EEEfNS_6layout8RowMajorELi1ENSA_30PitchLinearStripminedThreadMapINSF_16PitchLinearShapeILi8ELi64EEELi256ELi1EEELi1EEENSB_19RegularTileIteratorISE_fNSF_11ColumnMajorELi1ENSA_33TransposePitchLinearThreadMapSimtISK_EELi4EEENSC_INSD_ILi8ELi128EEEfSG_Li0ENSH_INSI_ILi128ELi8EEELi256ELi1EEELi1EEENSM_ISR_fSG_Li0EST_Li4EEEfSG_NS7_11threadblock9MmaPolicyINS2_4warp9SrmmaSimtINS8_ILi16ELi64ELi8EEEfSN_fSG_fSG_NS7_4warp13MmaSimtPolicyINSD_ILi4ELi8EEENSF_19RowMajorInterleavedILi1EEENS8_ILi4ELi4ELi1EEEEENS1_7minimumIfLi1EEENS1_7maximumIfLi1EEELi1EbEENSD_ILi4ELi0EEENSD_ILi0ELi0EEELi1EEENS_21NumericArrayConverterIffLi2ELNS_15FloatRoundStyleE2EEENS1G_IffLi4ELS1H_2EEEbEES19_S1B_NS_8epilogue11threadblock8EpilogueIS9_S1C_Li1ENS1M_22PredicatedTileIteratorINS1M_26OutputTileOptimalThreadMapINS1M_15OutputTileShapeILi128ELi1ELi4ELi4ELi1EEENS1Q_ILi1ELi4ELi1ELi1ELi4EEELi256ELi1ELi32EEEfEENS1L_4warp20FragmentIteratorSimtIS10_NS2_6thread5SrmmaINS8_ILi4ELi8ELi1EEEfSN_fSG_fSG_S19_S1B_bEESG_S17_EENS1V_16TileIteratorSimtIS10_S20_fSG_S17_EENS1M_18SharedLoadIteratorINS1T_18CompactedThreadMapEfLi4EEENS1_8epilogue6thread25SemiringLinearCombinationIS19_S1B_fLi1EffLS1H_2EEENSD_ILi0ELi17EEEEENSW_30GemmIdentityThreadblockSwizzleILi1EEELb0EEEEEvNT_6ParamsE,18.34,99.03,4236640052.19,4236640052.19,8805247337.41,0.0,0.0,
_ZN7cutlass6KernelIN5cuasr4gemm6kernel6SrgemmINS2_11threadblock14SrmmaPipelinedINS_4gemm9GemmShapeILi64ELi128ELi8EEENS_9transform11threadblock22PredicatedTileIteratorINS_11MatrixShapeILi64ELi8EEEfNS_6layout8RowMajorELi1ENSA_30PitchLinearStripminedThreadMapINSF_16PitchLinearShapeILi8ELi64EEELi256ELi1EEELi1EEENSB_19RegularTileIteratorISE_fNSF_11ColumnMajorELi1ENSA_33TransposePitchLinearThreadMapSimtISK_EELi4EEENSC_INSD_ILi8ELi128EEEfSG_Li0ENSH_INSI_ILi128ELi8EEELi256ELi1EEELi1EEENSM_ISR_fSG_Li0EST_Li4EEEfSG_NS7_11threadblock9MmaPolicyINS2_4warp9SrmmaSimtINS8_ILi16ELi64ELi8EEEfSN_fSG_fSG_NS7_4warp13MmaSimtPolicyINSD_ILi4ELi8EEENSF_19RowMajorInterleavedILi1EEENS8_ILi4ELi4ELi1EEEEENS1_4plusIfLi1EEEN71_GLOBAL__N__47_tmpxft_0001d8cf_00000000_9_srgemm_bench_cpp1_ii_1191f40211minussquareIfLi1EEELi1EbEENSD_ILi4ELi0EEENSD_ILi0ELi0EEELi1EEENS_21NumericArrayConverterIffLi2ELNS_15FloatRoundStyleE2EEENS1H_IffLi4ELS1I_2EEEbEES19_S1C_NS_8epilogue11threadblock8EpilogueIS9_S1D_Li1ENS1N_22PredicatedTileIteratorINS1N_26OutputTileOptimalThreadMapINS1N_15OutputTileShapeILi128ELi1ELi4ELi4ELi1EEENS1R_ILi1ELi4ELi1ELi1ELi4EEELi256ELi1ELi32EEEfEENS1M_4warp20FragmentIteratorSimtIS10_NS2_6thread5SrmmaINS8_ILi4ELi8ELi1EEEfSN_fSG_fSG_S19_S1C_bEESG_S17_EENS1W_16TileIteratorSimtIS10_S21_fSG_S17_EENS1N_18SharedLoadIteratorINS1U_18CompactedThreadMapEfLi4EEENS1_8epilogue6thread25SemiringLinearCombinationIS19_S1C_fLi1EffLS1I_2EEENSD_ILi0ELi17EEEEENSW_30GemmIdentityThreadblockSwizzleILi1EEELb0EEEEEvNT_6ParamsE,57.96,88.79,1339553657.49,1339553657.49,4762420163.76,0.0,0.0,
ampere_sgemm_128x128_nn,49.35,74.41,774073787.59,774073787.59,2304712222.12,0.0,0.0,
ampere_s16816gemm_fp16_64x64_sliced1x2_ldg8_stages_64x6_nn,91.96,36.06,359596397.78,359596397.78,86950851.76,505290270.12,31580641.88,
_ZN7cutlass6KernelIN5cuasr4gemm6kernel6SrgemmINS2_11threadblock14SrmmaPipelinedINS_4gemm9GemmShapeILi64ELi128ELi8EEENS_9transform11threadblock22PredicatedTileIteratorINS_11MatrixShapeILi64ELi8EEEiNS_6layout8RowMajorELi1ENSA_30PitchLinearStripminedThreadMapINSF_16PitchLinearShapeILi8ELi64EEELi256ELi1EEELi1EEENSB_19RegularTileIteratorISE_iNSF_11ColumnMajorELi1ENSA_33TransposePitchLinearThreadMapSimtISK_EELi4EEENSC_INSD_ILi8ELi128EEEiSG_Li0ENSH_INSI_ILi128ELi8EEELi256ELi1EEELi1EEENSM_ISR_iSG_Li0EST_Li4EEEiSG_NS7_11threadblock9MmaPolicyINS2_4warp9SrmmaSimtINS8_ILi16ELi64ELi8EEEiSN_iSG_iSG_NS7_4warp13MmaSimtPolicyINSD_ILi4ELi8EEENSF_19RowMajorInterleavedILi1EEENS8_ILi4ELi4ELi1EEEEENS1_9binary_orIiLi1EEENS1_10binary_andIiLi1EEELi1EbEENSD_ILi4ELi0EEENSD_ILi0ELi0EEELi1EEENS_21NumericArrayConverterIiiLi2ELNS_15FloatRoundStyleE2EEENS1G_IiiLi4ELS1H_2EEEbEES19_S1B_NS_8epilogue11threadblock8EpilogueIS9_S1C_Li1ENS1M_22PredicatedTileIteratorINS1M_26OutputTileOptimalThreadMapINS1M_15OutputTileShapeILi128ELi1ELi4ELi4ELi1EEENS1Q_ILi1ELi4ELi1ELi1ELi4EEELi256ELi1ELi32EEEiEENS1L_4warp20FragmentIteratorSimtIS10_NS2_6thread5SrmmaINS8_ILi4ELi8ELi1EEEiSN_iSG_iSG_S19_S1B_bEESG_S17_EENS1V_16TileIteratorSimtIS10_S20_iSG_S17_EENS1M_18SharedLoadIteratorINS1T_18CompactedThreadMapEiLi4EEENS1_8epilogue6thread25SemiringLinearCombinationIS19_S1B_iLi1EiiLS1H_2EEENSD_ILi0ELi17EEEEENSW_30GemmIdentityThreadblockSwizzleILi1EEELb0EEEEEvNT_6ParamsE,17.63,98.4,4408211013.87,4408211013.87,9105136218.35,0.0,0.0,
Total,0,0,25912630461.25,25912630461.25,63388857524.70001,505290270.12,31580641.88,
